Date,Team,B2B,Player,Opp,Off_PTS,AVG_PTS_H2H,Def_PTS,PTS_line,Off_AST,AVG_AST_H2H,Def_AST,AST_line,Off_REB,AVG_REB_H2H,Def_REB,REB_line,Off_PR,AVG_PR_H2H,Def_PR,PR_line,Off_PA,AVG_PA_H2H,Def_PA,PA_line,Off_RA,AVG_RA_H2H,Def_RA,RA_line,Off_PRA,AVG_PRA_H2H,Def_PRA,PRA_line,Off_TPM,AVG_TPM_H2H,Def_TPM,TPM_line,Off_STL,AVG_STL_H2H,Def_STL,STL_line,Off_BLK,AVG_BLK_H2H,Def_BLK,BLK_line,Off_STL_BLK,AVG_STL_BLK_H2H,Def_STL_BLK,STL_BLK_line,Off_L5_PTS,Def_L5_PTS,Off_L5_AST,Def_L5_AST,Off_L5_REB,Def_L5_REB,Off_L5_PR,Def_L5_PR,Off_L5_PA,Def_L5_PA,Off_L5_RA,Def_L5_RA,Off_L5_PRA,Def_L5_PRA,Off_L5_TPM,Def_L5_TPM,Off_L5_STL,Def_L5_STL,Off_L5_BLK,Def_L5_BLK,Off_L5_STL_BLK,Def_L5_STL_BLK,Spread,Total
11/20/2025,PHI,1,Tyrese Maxey,MIL,31.928571428571427,31.0,20.642857142857142,29.5,7.785714285714286,5.666666666666667,6.0,6.5,4.714285714285714,4.5,5.571428571428571,3.5,36.642857142857146,35.5,26.214285714285715,33.5,39.71428571428572,36.66666666666666,26.642857142857142,36.5,12.5,10.166666666666666,11.571428571428571,10.5,44.42857142857143,41.16666666666666,32.214285714285715,40.5,3.928571428571429,4.0,2.0,3.5,1.6153846153846154,1.3333333333333333,1.4285714285714286,1.5,,,,,,,,,29.6,22.2,6.8,6.0,4.2,6.8,33.8,29.0,36.4,28.2,11.0,12.8,40.6,35.0,3.6,2.0,2.2,0.8,,,,,,
11/20/2025,MIL,1,Ryan Rollins,PHI,17.4,4.166666666666667,18.08333333333333,19.5,5.333333333333333,1.5,5.833333333333333,5.5,4.0,1.5,5.5,4.5,21.133333333333333,5.666666666666667,23.58333333333333,23.5,22.73333333333333,5.666666666666667,23.916666666666668,25.5,9.066666666666666,3.0,11.333333333333334,10.5,26.466666666666665,7.166666666666667,29.416666666666668,30.5,2.8461538461538463,0.5,2.083333333333333,2.5,2.083333333333333,0.3333333333333333,1.4166666666666667,1.5,,,,,,,,,18.4,16.8,5.2,6.0,4.2,4.0,22.6,20.8,23.6,22.8,9.4,10.0,27.8,26.8,3.6,1.8,1.4,1.4,,,,,,
11/20/2025,ORL,0,Jalen Suggs,LAC,12.545454545454543,,22.07692307692308,14.5,4.727272727272728,,5.461538461538462,4.5,4.0,,4.076923076923077,4.5,16.545454545454547,,26.15384615384616,18.5,17.272727272727273,,27.53846153846154,19.5,8.727272727272727,,9.538461538461538,9.5,21.27272727272728,,31.615384615384617,23.5,2.0,,3.1538461538461537,1.5,2.571428571428572,,1.3846153846153846,1.5,,,,,,,,,15.0,25.6,5.2,3.4,5.0,4.4,20.0,30.0,20.2,29.0,10.2,7.8,25.2,33.4,2.2,2.6,2.8,1.6,,,,,,
11/20/2025,SAS,0,De'Aaron Fox,ATL,22.666666666666668,25.2,19.727272727272727,24.5,6.166666666666667,6.4,6.818181818181818,7.5,3.1666666666666665,5.0,6.545454545454546,3.5,25.83333333333333,30.2,26.27272727272728,28.5,28.83333333333333,31.6,26.545454545454547,31.5,9.333333333333334,11.4,13.363636363636363,11.5,32.0,36.6,33.09090909090909,35.5,2.5,3.4,2.1818181818181817,2.5,1.75,2.8,1.4545454545454546,1.5,,,,,,,,,22.4,22.6,6.8,8.4,3.2,7.2,25.6,29.8,29.2,31.0,10.0,15.6,32.4,38.2,2.6,2.8,1.75,1.2,,,,,,
11/20/2025,LAC,0,James Harden,ORL,26.15384615384616,,22.384615384615383,27.5,8.692307692307692,,7.153846153846154,7.5,6.833333333333333,,4.923076923076923,5.5,32.46153846153846,,27.307692307692307,33.5,34.84615384615385,,29.53846153846154,35.5,15.0,,12.076923076923077,14.5,41.15384615384615,,34.46153846153846,41.5,3.615384615384616,,2.230769230769231,3.5,1.5,,1.8461538461538465,1.5,,,,,,,,,32.8,19.8,8.0,5.8,9.0,5.0,41.8,24.8,40.8,25.6,17.0,10.8,49.8,30.6,4.0,2.4,1.0,1.2,,,,,,
11/20/2025,SAC,1,Dennis Schroder,MEM,13.785714285714286,15.8,23.818181818181817,12.5,5.733333333333333,6.2,5.181818181818182,4.5,4.0,2.7,5.090909090909091,3.5,17.785714285714285,18.5,28.90909090909091,15.5,18.6,22.0,29.0,17.5,9.466666666666669,8.9,10.272727272727272,8.5,22.33333333333333,24.7,34.09090909090909,20.5,2.4,2.3,3.5454545454545454,1.5,1.3636363636363635,0.6,0.6363636363636364,0.5,,,,,,,,,13.8,25.8,4.2,6.0,4.6,5.0,18.4,30.8,17.4,31.8,8.2,11.0,21.4,36.8,2.8,3.6,1.0,1.0,,,,,,
11/20/2025,ORL,0,Tyus Jones,LAC,4.666666666666667,7.833333333333333,22.07692307692308,3.5,1.9166666666666667,7.333333333333333,5.461538461538462,2.5,,,,,,,,,3.923076923076923,15.166666666666666,27.53846153846154,6.5,,,,,,,,,1.3333333333333333,1.3333333333333333,3.1538461538461537,0.5,,,,,,,,,,,,,4.8,25.6,2.4,3.4,,,,,4.0,29.0,,,,,1.3333333333333333,2.6,,,,,,,,
11/20/2025,MIL,1,Cole Anthony,PHI,9.461538461538462,6.857142857142857,18.08333333333333,10.5,5.214285714285714,1.7142857142857142,5.833333333333333,4.5,3.2857142857142856,1.5714285714285714,5.5,3.5,12.071428571428571,8.428571428571429,23.58333333333333,13.5,14.0,8.571428571428571,23.916666666666668,14.5,8.5,3.2857142857142856,11.333333333333334,7.5,17.285714285714285,10.142857142857142,29.416666666666668,18.5,1.5714285714285714,0.7142857142857143,2.083333333333333,0.5,,,,,,,,,,,,,6.8,16.8,5.2,6.0,3.2,4.0,7.6,20.8,9.6,22.8,8.4,10.0,12.8,26.8,1.6,1.8,,,,,,,,
11/20/2025,SAC,1,Russell Westbrook,MEM,13.866666666666667,12.714285714285714,23.818181818181817,13.5,6.4,4.857142857142857,5.181818181818182,6.5,7.428571428571429,5.0,5.090909090909091,7.5,20.8,17.714285714285715,28.90909090909091,21.5,20.266666666666666,17.571428571428573,29.0,20.5,13.333333333333334,9.857142857142858,10.272727272727272,14.5,27.2,22.571428571428573,34.09090909090909,28.5,2.3846153846153846,1.2857142857142858,3.5454545454545454,1.5,,,,,,,,,,,,,11.6,25.8,8.2,6.0,8.0,5.0,19.6,30.8,19.8,31.8,16.2,11.0,27.8,36.8,1.6,3.6,,,,,,,,
11/20/2025,LAC,0,Kris Dunn,ORL,7.769230769230769,5.5,22.384615384615383,7.5,3.090909090909091,2.5,7.153846153846154,2.5,2.9166666666666665,2.25,4.923076923076923,2.5,9.714285714285714,7.75,27.307692307692307,10.5,9.642857142857142,8.0,29.53846153846154,9.5,5.307692307692308,4.75,12.076923076923077,5.5,12.142857142857142,10.25,34.46153846153846,12.5,1.2,1.0,2.230769230769231,0.5,1.9090909090909087,1.0,1.8461538461538465,1.5,,,,,,,,,7.2,19.8,3.6,5.8,2.4,5.0,9.2,24.8,10.2,25.6,5.0,10.8,12.2,30.6,1.0,2.4,1.6,1.2,,,,,,
11/20/2025,ORL,0,Anthony Black,LAC,11.733333333333333,6.25,22.07692307692308,11.5,2.571428571428572,2.75,5.461538461538462,2.5,3.2857142857142856,0.25,4.076923076923077,3.5,14.8,6.5,26.15384615384616,14.5,14.133333333333333,9.0,27.53846153846154,14.5,5.466666666666667,3.0,9.538461538461538,5.5,17.2,9.25,31.615384615384617,17.5,1.5,0.5,3.1538461538461537,1.5,,,,,,,,,,,,,13.2,25.6,2.6,3.4,3.4,4.4,16.0,30.0,15.8,29.0,5.4,7.8,18.6,33.4,1.6,2.6,,,,,,,,
11/20/2025,ORL,0,Desmond Bane,LAC,16.933333333333334,19.0,15.714285714285714,21.5,4.466666666666667,4.833333333333333,4.571428571428571,5.5,4.714285714285714,5.333333333333333,4.214285714285714,5.5,21.33333333333333,24.33333333333333,19.928571428571427,26.5,21.4,23.83333333333333,20.285714285714285,26.5,8.866666666666667,10.166666666666666,8.785714285714286,10.5,25.8,29.166666666666668,24.5,32.5,1.9166666666666667,3.1666666666666665,2.142857142857143,2.5,1.8333333333333333,1.0,1.2142857142857142,0.5,,,,,,,,,22.4,13.4,5.2,3.6,4.8,5.2,27.2,18.6,27.6,17.0,10.0,8.8,32.4,22.2,2.2,2.4,2.0,0.6,,,,,,
11/20/2025,MEM,1,Vince Williams Jr.,SAC,9.555555555555555,0.5,19.60869565217392,13.5,3.7777777777777777,0.25,4.3478260869565215,5.5,4.7,2.25,4.608695652173913,5.5,13.3,2.75,24.217391304347824,19.5,12.0,0.75,23.95652173913044,19.5,8.1,2.5,8.956521739130435,10.5,16.7,3.0,28.565217391304348,24.5,1.875,0.0,2.652173913043478,1.5,,,,,,,,,,,,,10.2,18.2,4.6,4.6,6.6,3.4,16.8,21.6,14.6,22.8,11.0,8.0,21.2,26.2,2.0,1.6,,,,,,,,
11/20/2025,MEM,1,Jaylen Wells,SAC,9.466666666666669,,19.60869565217392,12.5,2.090909090909091,,4.3478260869565215,1.5,3.4,,4.608695652173913,3.5,12.866666666666667,,24.217391304347824,15.5,11.0,,23.95652173913044,14.5,4.933333333333334,,8.956521739130435,5.5,14.4,,28.565217391304348,18.5,1.8333333333333333,,2.652173913043478,1.5,,,,,,,,,,,,,10.4,18.2,2.0,4.6,2.2,3.4,12.6,21.6,12.0,22.8,3.8,8.0,14.2,26.2,1.8,1.6,,,,,,,,
11/20/2025,ATL,0,Dyson Daniels,SAS,8.5,6.5,16.363636363636363,11.5,5.6875,3.5,4.2727272727272725,5.5,5.6875,5.333333333333333,3.909090909090909,5.5,14.1875,11.833333333333334,20.27272727272728,17.5,14.1875,10.0,20.63636363636364,18.5,11.375,8.833333333333334,8.181818181818182,11.5,19.875,15.333333333333334,24.545454545454547,24.5,,,,,2.25,1.5,0.9090909090909092,2.5,1.0,0.0,0.3636363636363636,0.5,2.6875,1.5,1.2727272727272727,2.5,6.4,10.0,6.4,3.6,5.2,4.6,11.6,14.6,12.8,13.6,11.6,8.2,18.0,18.2,,,2.0,0.8,1.0,0.4,2.2,1.2,,
11/20/2025,SAS,0,Devin Vassell,ATL,13.571428571428571,18.0,15.818181818181818,16.5,3.0,3.5,3.8181818181818175,3.5,3.5,3.75,4.0,4.5,17.071428571428573,21.75,19.818181818181817,21.5,16.142857142857142,21.5,19.63636363636364,20.5,6.071428571428571,7.25,7.818181818181818,7.5,19.642857142857142,25.25,23.63636363636364,24.5,3.090909090909091,2.75,2.090909090909091,2.5,2.0,1.5,1.0,1.5,,,,,,,,,11.2,20.4,3.6,3.6,3.0,2.2,14.2,22.6,14.2,24.0,6.0,5.8,17.2,26.2,3.0,3.2,2.4,1.4,,,,,,
11/20/2025,MIL,1,Gary Trent Jr.,PHI,10.2,14.75,18.375,12.5,,,,,2.4,3.125,3.5,2.5,11.8,17.875,21.875,14.5,,,,,,,,,,,,,2.4285714285714284,3.375,2.5625,2.5,1.6,1.375,1.0,1.5,,,,,,,,,7.6,20.2,,,2.2,5.0,8.4,25.2,,,,,,,2.0,3.2,1.2,1.0,,,,,,
11/20/2025,MEM,1,Cedric Coward,SAC,14.333333333333334,,19.60869565217392,16.5,2.8666666666666667,,4.3478260869565215,3.5,6.4,,4.608695652173913,6.5,20.73333333333333,,24.217391304347824,23.5,17.2,,23.95652173913044,20.5,9.266666666666667,,8.956521739130435,10.5,23.6,,28.565217391304348,27.5,2.8,,2.652173913043478,1.5,,,,,,,,,,,,,13.0,18.2,3.0,4.6,7.6,3.4,20.6,21.6,16.0,22.8,10.6,8.0,23.6,26.2,2.8,1.6,,,,,,,,
